symbol,valuation_date,entry_price,fair_value_median,upside_to_median,return_90d,return_180d,return_365d,price_90d,price_180d,price_365d,threshold,max_drawdown_90d,max_drawdown_180d,max_drawdown_365d,rate_sensitivity_score,debt_burden_category
ACAD,2024-08-29,65.6,105.9,0.6143292682926832,-0.06859756097560965,0.17378048780487815,0.4131097560975611,61.1,77.0,92.7,0.2,-0.08079268292682923,-0.09603658536585362,-0.09603658536585362,6.52,moderate_debt
ACAD,2024-10-31,65.7,112.0,0.7047184170471841,0.0532724505327245,0.16438356164383558,0.5981735159817351,69.2,76.5,105.0,0.2,-0.09741248097412489,-0.09741248097412489,-0.09741248097412489,6.55,moderate_debt
BMAX,2023-03-02,36.98,122.95,2.3247701460248784,-0.18442401297998912,-0.15089237425635477,-0.08815575987020006,30.16,31.4,33.72,0.2,-0.21146565711195234,-0.25202812330989716,-0.28718226068144936,5.52,low_debt
BMAX,2023-05-09,30.38,122.93,3.0464121132323903,0.11125740618828174,-0.023041474654377857,0.13693219223173142,33.76,29.68,34.54,0.2,-0.08953258722843972,-0.1323238973008558,-0.1323238973008558,5.52,low_debt
BMAX,2023-07-14,29.92,122.61,3.0979278074866308,-0.05481283422459895,0.3696524064171121,0.30013368983957206,28.28,40.98,38.9,0.2,-0.07085561497326207,-0.11898395721925141,-0.11898395721925141,5.52,low_debt
BMAX,2023-09-15,29.86,122.58,3.105157401205626,0.1821835231078365,0.07166778298727397,0.42531815137307444,35.3,32.0,42.56,0.2,-0.11721366376423309,-0.11721366376423309,-0.11721366376423309,5.52,low_debt
BMAX,2023-11-17,30.86,123.33,2.9964355152300715,0.18600129617628003,0.24303305249513935,0.4193130265716137,36.6,38.36,43.8,0.2,-0.025275437459494527,-0.025275437459494527,-0.025275437459494527,5.52,low_debt
BMAX,2024-01-24,38.0,96.05,1.5276315789473685,-0.11526315789473691,-0.005263157894736917,0.21578947368421061,33.62,37.8,46.2,0.2,-0.15789473684210525,-0.15789473684210525,-0.15789473684210525,7.69,moderate_debt
BMAX,2024-03-27,35.78,98.42,1.7506987143655672,0.005030743432084955,0.1978759083286752,0.45192845164896595,35.96,42.86,51.95,0.2,-0.07043040804918958,-0.07043040804918958,-0.07043040804918958,7.69,moderate_debt
BMAX,2024-08-29,41.82,70.13,0.6769488283118124,0.032998565279770506,0.2171209947393591,0.3940698230511716,43.2,50.9,58.3,0.2,-0.10569105691056914,-0.10569105691056914,-0.10569105691056914,9.58,moderate_debt
BMAX,2024-10-31,44.68,55.4,0.2399283795881826,0.07027752909579231,0.07430617726051926,0.08325872873769022,47.82,48.0,48.4,0.2,-0.058639212175469954,-0.058639212175469954,-0.058639212175469954,10.0,moderate_debt
HEGR,2024-10-30,3.44,4.61,0.34011627906976755,0.43023255813953487,-0.06976744186046505,-0.7921511627906977,4.92,3.2,0.715,0.2,-0.29651162790697677,-0.29651162790697677,-0.7921511627906977,10.0,low_debt
HUM,2023-03-01,14.34,59.91,3.177824267782426,0.0822873082287308,0.8793584379358438,0.7712691771269177,15.52,26.95,25.4,0.2,-0.13528591352859132,-0.13528591352859132,-0.13528591352859132,10.0,moderate_debt
HUM,2023-05-08,15.82,58.96,2.72692793931732,0.8141592920353982,0.8299620733249051,0.9279393173198482,28.7,28.95,30.5,0.2,-0.10240202275600511,-0.10240202275600511,-0.10240202275600511,10.0,moderate_debt
