symbol,timeframe,signal_date,entry_price,exit_price,hold_days,rank,predicted_discount,revenue_growth,debt_to_equity,fair_ps,current_ps,gross_return,net_return,success,growth_bucket
BINERO,6M,2024-01-25,2.74,3.48,180,1,0.9897390026019803,1.86763430315055,0.1334921610820781,28.33252764819767,0.2907199924774783,0.2700729927007298,0.2680729927007298,True,>100%
TELIA1,6M,2024-01-25,0.4919,0.8878,180,2,0.9882009864118235,0.0762888684594054,1.8703898655998876,1.8510331188237565,0.0218403649211662,0.8048383817849157,0.8028383817849157,True,0-20%
HYPRO,6M,2024-01-25,14.82,10.86,180,3,0.9866127527542791,8.233671375328193,0.044925994898634636,123.32027748029587,1.6509190450396227,-0.2672064777327936,-0.2692064777327936,False,>100%
ELLWEE,6M,2024-01-25,17.7,5.66,180,4,0.986504185482605,0.13792789168080866,2.2232664888991684,2.4982428626484907,0.03371582229371002,-0.6802259887005649,-0.682225988700565,False,0-20%
EQVA,6M,2024-01-25,2.9981,5.0,180,5,0.9864572060264328,1.9740591888929488,0.7436256770297118,24.17043132496327,0.32733517168623166,0.6677228911644041,0.6657228911644041,True,>100%
HYPRO,6M,2024-02-24,11.68,9.27,180,1,0.989449187056004,8.233671375328193,0.044925994898634636,123.32027748029587,1.301129179896275,-0.20633561643835618,-0.20833561643835619,False,>100%
ELLWEE,6M,2024-02-24,14.55,5.02,180,2,0.9889059829814634,0.13792789168080866,2.2232664888991684,2.4982428626484907,0.02771554883465993,-0.6549828178694158,-0.6569828178694158,False,0-20%
EQVA,6M,2024-02-24,2.9981,5.2,180,3,0.9864572060264328,1.9740591888929488,0.7436256770297118,24.17043132496327,0.32733517168623166,0.7344318068109803,0.7324318068109803,True,>100%
TELIA1,6M,2024-02-24,0.5752,1.1151,180,4,0.9862029017769482,0.0762888684594054,1.8703898655998876,1.8510331188237565,0.025538885754533034,0.9386300417246174,0.9366300417246174,True,0-20%
BINERO,6M,2024-02-24,3.8,3.28,180,5,0.98576941966698,1.86763430315055,0.1334921610820781,28.33252764819767,0.40318831073518885,-0.1368421052631579,-0.1388421052631579,False,>100%
HYPRO,6M,2024-03-25,11.4,9.0,180,1,0.9897021175032916,8.233671375328193,0.044925994898634636,123.32027748029587,1.2699377269535561,-0.2105263157894737,-0.2125263157894737,False,>100%
EQVA,6M,2024-03-25,3.1012,6.0,180,2,0.9859914903869696,1.9740591888929488,0.7436256770297118,24.17043132496327,0.33859171956683953,0.9347349413130401,0.9327349413130401,True,>100%
TELIA1,6M,2024-03-25,0.6163,1.1944,180,3,0.9852170520951552,0.0762888684594054,1.8703898655998876,1.8510331188237565,0.027363726165714024,0.9380171994158689,0.9360171994158689,True,0-20%
NFGAB,6M,2024-03-25,13.0,21.0,180,4,0.9843250570686134,0.144091639028767,2.773409917268272,2.5629622098020532,0.04017428637394775,0.6153846153846154,0.6133846153846154,True,0-20%
STAR A,6M,2024-03-25,0.225,0.278,180,5,0.9832659664871863,2.0013769184701578,0.018799488516205182,31.342882126440873,0.5244928398920301,0.23555555555555563,0.23355555555555563,True,>100%
HYPRO,6M,2024-04-24,12.04,7.9,180,1,0.9891239907666343,8.233671375328193,0.044925994898634636,123.32027748029587,1.3412324765369135,-0.34385382059800657,-0.34585382059800657,False,>100%
NFGAB,6M,2024-04-24,13.3,21.9,180,2,0.9839633276163505,0.144091639028767,2.773409917268272,2.5629622098020532,0.041101385290269625,0.6466165413533833,0.6446165413533833,True,0-20%
STAR B,6M,2024-04-24,0.2385,0.2492,180,3,0.9822619244764175,2.0013769184701578,0.018799488516205182,31.342882126440873,0.5559624102855519,0.04486373165618455,0.042863731656184546,True,>100%
SAMT B,6M,2024-04-24,3.3,3.4,180,4,0.9803717501990197,0.20932526288328973,0.06349206349206349,4.5515002967112625,0.0893379847930845,0.03030303030303033,0.02830303030303033,True,20-50%
STAR A,6M,2024-04-24,0.28,0.271,180,5,0.9791754249618319,2.0013769184701578,0.018799488516205182,31.342882126440873,0.6527022007545265,-0.03214285714285717,-0.03414285714285717,False,>100%
BINERO,6M,2024-05-24,3.5,2.6,180,1,0.9868928865353763,1.86763430315055,0.1334921610820781,28.33252764819767,0.37135765462451603,-0.2571428571428571,-0.2591428571428571,False,>100%
DSNO,6M,2024-05-24,0.315,0.294,180,2,0.9778389829522393,0.0023836667012124527,-1.422077922077922,2.190943984505491,0.04855354699131514,-0.06666666666666672,-0.06866666666666672,False,0-20%
ERRIA,6M,2024-05-24,3.78,3.0,180,3,0.9340918728402292,0.20698801906975567,1.5341940432059313,3.2233742002324344,0.21244655667244366,-0.2063492063492063,-0.2083492063492063,False,20-50%
ADMIN,6M,2024-05-24,2.3879,2.3683,180,4,0.9334041624322245,0.43782783435388084,0.535777001774427,6.770716484783913,0.4509015352381292,-0.0082080489132711,-0.0102080489132711,False,20-50%
KELAS,6M,2024-05-24,3.92,3.5,180,5,0.925939222557694,0.20785818633757058,1.054140625,3.2325109565444907,0.23940227453245724,-0.10714285714285712,-0.10914285714285712,False,20-50%
ENRO,1Y,2023-07-19,0.55,0.452,365,1,0.9876969380550632,0.12318840579710143,0.14705882352941177,3.2001278772378514,0.03937137150537635,-0.17818181818181822,-0.18018181818181822,False,0-20%
HAVI,1Y,2023-07-19,13.56,6.25,365,2,0.9874849411652816,0.27755498774816517,-19.693091756954768,39.12183739281495,0.489612096693364,-0.5390855457227138,-0.5410855457227138,False,20-50%
NAS,1Y,2023-07-19,9.655,10.6768,365,3,0.983914876712287,2.717480718056012,2.3992720178902793,29.583547539588128,0.47585500946219517,0.10583117555670644,0.10383117555670644,True,>100%
AIK B,1Y,2023-07-19,1.735,1.54,365,5,0.9825418411913148,0.5207362340767905,0.05764344143412427,9.150027333754158,0.1597426302964896,-0.1123919308357349,-0.1143919308357349,False,50-100%
HAVI,1Y,2023-08-18,11.1,5.1,365,1,0.9897553721928191,0.27755498774816517,-19.693091756954768,39.12183739281495,0.40078866322244394,-0.5405405405405406,-0.5425405405405406,False,20-50%
ENRO,1Y,2023-08-18,0.56,0.427,365,2,0.9874732460197008,0.12318840579710143,0.14705882352941177,3.2001278772378514,0.04008721462365592,-0.2375000000000001,-0.2395000000000001,False,0-20%
NOSIUM B,1Y,2023-08-18,0.347,0.027,365,3,0.985503133661065,-0.3335891713915425,0.24463462146485904,0.5,0.007248433169467507,-0.9221902017291066,-0.9241902017291066,False,Negative
NAS,1Y,2023-08-18,9.2529,9.7922,365,4,0.9845847708680601,2.717480718056012,2.3992720178902793,29.583547539588128,0.45603716385838905,0.05828442974634968,0.05628442974634968,True,>100%
VESTUM,1Y,2023-08-18,8.025,10.46,365,5,0.9826302454322966,2.7545851021317853,0.7717614804660726,32.90501182155749,0.5715519793878342,0.30342679127725863,0.30142679127725863,True,>100%
MYBEAT,1Y,2023-09-17,5.07,6.27,365,1,0.9895811026518996,6.419467834892176,3.348720937557555,68.45441226636784,0.7132194944278375,0.23668639053254423,0.23468639053254423,True,>100%
VESTUM,1Y,2023-09-17,4.964,9.3,365,2,0.9892556434050991,2.7545851021317853,0.7717614804660726,32.90501182155749,0.3535431807702441,0.8734891216760676,0.8714891216760676,True,>100%
ELMRA,1Y,2023-09-17,20.469,29.5821,365,3,0.9889739374783274,0.6921792219359314,1.2915972180223767,8.317881830327279,0.09171348510907308,0.4452147149347794,0.4432147149347794,True,50-100%
ENRO,1Y,2023-09-17,0.542,0.437,365,4,0.9878758916833532,0.12318840579710143,0.14705882352941177,3.2001278772378514,0.03879869701075269,-0.19372693726937276,-0.19572693726937276,False,0-20%
